TRACK_ID,LENGTH,PREF_TRAVEL_DIRECTION,CONNECTED_TRACK_ID_LIST
NKX:1LL,1,UP,
NKX:2ML,1,UP,
NKX:3LL,1,DOWN,
NKX:4LL,1,DOWN,
AGZ-NKX:1ML,10,UP,NKX:1LL;NKX:2ML;NKX:3LL;NKX:4LL;AGZ:1LL;AGZ:2ML
AGZ-NKX:2ML,10,DOWN,NKX:3LL;NKX:4LL;AGZ:1LL;AGZ:2ML;AGZ:3ML;AGZ:4LL
AGZ:1LL,1,UP,
AGZ:2ML,1,UP,
AGZ:3ML,1,DOWN,
AGZ:4LL,1,DOWN,
AGB-AGZ:1ML,20,UP,AGZ:1LL;AGZ:2ML;AGB:1LL;AGB:2ML
AGB-AGZ:2ML,20,DOWN,AGZ:1LL;AGZ:2ML;AGZ:3ML;AGZ:4LL;AGB:1LL;AGB:2ML;AGB:3ML;AGB:4LL
AGB:1LL,1,UP,
AGB:2ML,1,UP,
AGB:3ML,1,DOWN,
AGB:4LL,1,DOWN,
KPRR-AGB:1ML,10,UP,AGB:1LL;AGB:2ML;KPRR:1LL;KPRR:2ML;KPRR:3ML;KPRR:4LL
KPRR-AGB:2ML,10,DOWN,AGB:1LL;AGB:2ML;AGB:3ML;AGB:4LL;KPRR:3ML;KPRR:4LL
KPRR:1LL,1,UP,
KPRR:2ML,1,UP,
KPRR:3ML,1,DOWN,
KPRR:4LL,1,DOWN,
CJS-KPRR:1ML,12,UP,KPRR:1LL;KPRR:2ML;KPRR:3ML;KPRR:4LL;CJS:1LL;CJS:2ML;CJS:3ML;CJS:4LL
CJS-KPRR:2ML,12,DOWN,KPRR:3ML;KPRR:4LL;CJS:3ML;CJS:4LL
CJS:1LL,1,UP,
CJS:2ML,1,UP,
CJS:3ML,1,DOWN,
CJS:4LL,1,DOWN,
KDPA-CJS:1ML,8,UP,CJS:1LL;CJS:2ML;CJS:3ML;CJS:4LL;KDPA:1LL;KDPA:2ML
KDPA-CJS:2ML,8,DOWN,CJS:3ML;CJS:4LL;KDPA:1LL;KDPA:2ML;KDPA:3ML;KDPA:4LL
KDPA:1LL,1,UP,
KDPA:2ML,1,UP,
KDPA:3ML,1,DOWN,
KDPA:4LL,1,DOWN,
DIR-KDPA:1ML,8,UP,KDPA:1LL;KDPA:2ML;DIR:1LL;DIR:2ML;DIR:3ML;DIR:4LL
DIR-KDPA:2ML,8,DOWN,KDPA:1LL;KDPA:2ML;KDPA:3ML;KDPA:4LL;DIR:3ML;DIR:4LL
DIR:1LL,1,UP,
DIR:2ML,1,UP,
DIR:3ML,1,DOWN,
DIR:4LL,1,DOWN,
JYP-DIR:1ML,10,UP,DIR:1LL;DIR:2ML;DIR:3ML;DIR:4LL;JYP:1LL;JYP:2ML;JYP:3ML;JYP:4LL;JYP:5LL;JYP:6LL
JYP-DIR:2ML,10,DOWN,DIR:3ML;DIR:4LL;JYP:1LL;JYP:2ML;JYP:3ML;JYP:4LL;JYP:5LL;JYP:6LL
JYP:1LL,1,UP,
JYP:2ML,1,UP,
JYP:3ML,1,DOWN,
JYP:4LL,1,DOWN,
JYP:5LL,1,DOWN,
JYP:6LL,1,DOWN,
CTS-JYP:1ML,13,UP,JYP:1LL;JYP:2ML;JYP:3ML;JYP:4LL;JYP:5LL;JYP:6LL;CTS:1LL;CTS:2ML;CTS:3LL
CTS:1LL,1,UP,
CTS:2ML,1,UP,
CTS:3LL,1,DOWN,
