TRAIN_ID,MOV_ID,TRACK_ID,START_TIME,END_TIME,DWELL,TRAVEL
1,0,BPL:SFY:1LL,0,38,0,34
1,1,BPL:SFW-SFY:1ML,34,1267,0,1229
1,2,BPL:SFW:2ML,1263,1300,0,33
1,3,BPL:PQU-SFW:1ML,1296,1729,0,429
1,4,BPL:PQU:2ML,1725,1759,0,30
1,5,BPL:PFR-PQU:1ML,1755,2743,0,984
1,6,BPL:PFR:2ML,2739,8573,5799,31
1,7,BPL:BRRG-PFR:1ML,8569,9918,0,1345
1,8,BPL:BRRG:3LL,9914,9951,0,33
1,9,BPL:BRRG-SFZ:1ML,9947,10393,0,442
1,10,BPL:SFZ:2ML,10389,10423,0,30
1,11,BPL:CBK-SFZ:1ML,10419,11346,0,923
1,12,BPL:CBK:3ML,11342,11386,0,40
1,13,BPL:CBK-KHRJ:1ML,11382,12398,0,1012
1,14,BPL:KHRJ:2LL,12394,12429,0,31
1,15,BPL:KHRJ-VJP:1ML,12425,13253,0,824
1,16,BPL:VJP:3LL,13249,13284,0,31
1,17,BPL:RTA-VJP:1ML,13280,13540,0,256
1,18,BPL:RTA:3ML,13536,13586,0,46
1,19,BPL:MUGA-RTA:1ML,13582,14164,0,578
1,20,BPL:MUGA:2ML,14160,14198,0,34
1,21,BPL:GUNA-MUGA:1ML,14194,14541,0,343
1,22,BPL:GUNA:2ML,14537,14573,0,32
1,23,BPL:GUNA-MINA:1ML,14569,15984,0,1411
1,24,BPL:MINA:2LL,15980,16017,0,33
1,25,BPL:BDWS-MINA:1ML,16013,16841,0,824
1,26,BPL:BDWS:2LL,16837,16870,0,29
1,27,BPL:BDWS-KLRS:1ML,16866,18103,0,1233
1,28,BPL:KLRS:2LL,18099,18135,0,32
1,29,BPL:KLRS-SVPI:1ML,18131,19256,0,1121
1,30,BPL:SVPI:3LL,19252,19288,0,32
1,31,BPL:PARH-SVPI:1ML,19284,20768,0,1480
1,32,BPL:PARH:2ML,20764,20802,0,34
1,33,BPL:MOJ-PARH:1ML,20798,22076,0,1274
1,34,BPL:MOJ:2LL,22072,22109,0,33
1,35,BPL:GHAI-MOJ:1ML,22105,23291,0,1182
1,36,BPL:GHAI:2LL,23287,23324,0,33
1,37,BPL:GHAI-PNHR:1ML,23320,23852,0,528
1,38,BPL:PNHR:2LL,23848,23852,0,0
2,0,BPL:VJP:1ML,0,39,0,35
2,1,BPL:KHRJ-VJP:1ML,35,863,0,824
2,2,BPL:KHRJ:1ML,859,894,0,31
2,3,BPL:CBK-KHRJ:1ML,890,1906,0,1012
2,4,BPL:CBK:1LL,1902,1940,0,34
2,5,BPL:CBK-SFZ:1ML,1936,2863,0,923
2,6,BPL:SFZ:1LL,2859,2893,0,30
2,7,BPL:BRRG-SFZ:1ML,2889,3335,0,442
2,8,BPL:BRRG:1LL,3331,7214,3846,33
2,9,BPL:BRRG-PFR:1ML,7210,8559,0,1345
2,10,BPL:PFR:1LL,8555,8590,0,31
2,11,BPL:PFR-PQU:1ML,8586,9574,0,984
2,12,BPL:PQU:1LL,9570,9604,0,30
2,13,BPL:PQU-SFW:1ML,9600,10033,0,429
2,14,BPL:SFW:1LL,10029,10064,0,31
